  zkm   c_ch4 [atm-cm/km]
  0.0   1.6100e-01
  1.0   1.4600e-01
  2.0   1.3200e-01
  3.0   1.2000e-01
  4.0   1.0800e-01
  5.0   9.6800e-02
  6.0   8.6800e-02
  7.0   7.7500e-02
  8.0   6.9000e-02
  9.0   6.1200e-02
 10.0   5.3900e-02
 11.0   4.7200e-02
 12.0   4.0100e-02
 13.0   3.3900e-02
 14.0   2.8600e-02
 15.0   2.4200e-02
 16.0   2.0400e-02
 17.0   1.7100e-02
 18.0   1.4300e-02
 19.0   1.1900e-02
 20.0   9.7900e-03
 21.0   7.9300e-03
 22.0   6.3400e-03
 23.0   5.0700e-03
 24.0   4.0600e-03
 25.0   3.2700e-03
 30.0   1.3000e-03
 35.0   4.8800e-04
 40.0   1.7400e-04
 45.0   5.5200e-05
 50.0   1.6700e-05
 70.0   9.6100e-07
100.0   5.3000e-09
